tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds
attached_fast_sigmoid,fast_sigmoid,5,1,1,0.199186,0.097901,0.968500,0.152542,1.963
attached_fast_sigmoid,fast_sigmoid,5,1,2,0.084754,0.079940,0.974600,0.151759,1.926
attached_fast_sigmoid,fast_sigmoid,5,1,3,0.060394,0.088518,0.972700,0.152498,1.843
attached_fast_sigmoid,fast_sigmoid,5,1,4,0.048235,0.072569,0.977600,0.142588,1.808
attached_fast_sigmoid,fast_sigmoid,5,2,1,0.197451,0.101157,0.968200,0.153117,1.728
attached_fast_sigmoid,fast_sigmoid,5,2,2,0.084812,0.105444,0.968700,0.146038,1.767
attached_fast_sigmoid,fast_sigmoid,5,2,3,0.059554,0.081706,0.975800,0.149017,1.822
attached_fast_sigmoid,fast_sigmoid,5,2,4,0.045700,0.081236,0.975800,0.144844,1.781
attached_fast_sigmoid,fast_sigmoid,5,3,1,0.199793,0.099789,0.968400,0.154169,1.771
attached_fast_sigmoid,fast_sigmoid,5,3,2,0.085458,0.100580,0.967800,0.152343,1.742
attached_fast_sigmoid,fast_sigmoid,5,3,3,0.061193,0.089603,0.974000,0.151283,1.756
attached_fast_sigmoid,fast_sigmoid,5,3,4,0.046833,0.084084,0.975500,0.152437,1.766
detached_fast_sigmoid,fast_sigmoid,5,1,1,0.200142,0.109517,0.964500,0.165842,1.828
detached_fast_sigmoid,fast_sigmoid,5,1,2,0.086389,0.084604,0.972700,0.165425,1.774
detached_fast_sigmoid,fast_sigmoid,5,1,3,0.062831,0.095255,0.969000,0.157855,1.777
detached_fast_sigmoid,fast_sigmoid,5,1,4,0.050404,0.089276,0.972800,0.171160,1.860
detached_fast_sigmoid,fast_sigmoid,5,2,1,0.196242,0.103447,0.968000,0.167516,1.921
detached_fast_sigmoid,fast_sigmoid,5,2,2,0.085323,0.105890,0.967200,0.157104,1.944
detached_fast_sigmoid,fast_sigmoid,5,2,3,0.064782,0.077297,0.977600,0.161423,2.058
detached_fast_sigmoid,fast_sigmoid,5,2,4,0.053324,0.084946,0.974400,0.155753,2.201
detached_fast_sigmoid,fast_sigmoid,5,3,1,0.198957,0.096375,0.969200,0.150717,1.889
detached_fast_sigmoid,fast_sigmoid,5,3,2,0.087332,0.089730,0.972600,0.147117,1.819
detached_fast_sigmoid,fast_sigmoid,5,3,3,0.063219,0.088343,0.973800,0.151386,1.800
detached_fast_sigmoid,fast_sigmoid,5,3,4,0.051208,0.096706,0.972200,0.162672,1.835
attached_gaussian,gaussian,1,1,1,0.210187,0.112232,0.963200,0.128323,1.947
attached_gaussian,gaussian,1,1,2,0.089066,0.075417,0.975800,0.136827,2.006
attached_gaussian,gaussian,1,1,3,0.063038,0.079837,0.974600,0.139245,2.014
attached_gaussian,gaussian,1,1,4,0.047980,0.077791,0.977400,0.141124,2.054
attached_gaussian,gaussian,1,2,1,0.207055,0.104178,0.967900,0.126475,2.014
attached_gaussian,gaussian,1,2,2,0.085046,0.110457,0.967600,0.134305,2.020
attached_gaussian,gaussian,1,2,3,0.062240,0.085360,0.973700,0.135208,2.055
attached_gaussian,gaussian,1,2,4,0.044066,0.077819,0.975700,0.136641,2.267
attached_gaussian,gaussian,1,3,1,0.209527,0.104039,0.967100,0.126175,2.068
attached_gaussian,gaussian,1,3,2,0.086715,0.085504,0.973100,0.131308,2.041
attached_gaussian,gaussian,1,3,3,0.059731,0.104483,0.968800,0.132005,2.007
attached_gaussian,gaussian,1,3,4,0.046718,0.083181,0.976000,0.137974,2.041
detached_gaussian,gaussian,1,1,1,0.199696,0.103681,0.967500,0.142788,1.961
detached_gaussian,gaussian,1,1,2,0.082599,0.081257,0.973400,0.145248,1.993
detached_gaussian,gaussian,1,1,3,0.061005,0.079813,0.975300,0.138429,2.028
detached_gaussian,gaussian,1,1,4,0.046849,0.077401,0.976500,0.147720,1.995
detached_gaussian,gaussian,1,2,1,0.202172,0.097445,0.970300,0.137177,1.974
detached_gaussian,gaussian,1,2,2,0.085752,0.109853,0.967100,0.145302,2.012
detached_gaussian,gaussian,1,2,3,0.061966,0.085496,0.971500,0.139593,2.090
detached_gaussian,gaussian,1,2,4,0.044671,0.083420,0.975600,0.142343,2.015
detached_gaussian,gaussian,1,3,1,0.201133,0.105387,0.966500,0.136357,1.978
detached_gaussian,gaussian,1,3,2,0.085287,0.096819,0.969600,0.139730,2.017
detached_gaussian,gaussian,1,3,3,0.060711,0.109800,0.966700,0.143490,2.060
detached_gaussian,gaussian,1,3,4,0.049399,0.098616,0.969600,0.140418,2.095
